Store No.,Store Name,Address,Street,City,State,Zip_Code,Phone,Open Hours,URL,Updated_Date
124,Pet Supplies San Juan Capistrano | Petco,"32391 Camino Capistrano, Suite A, San Juan Capistrano, CA, 92675",32391 Camino Capistrano,San Juan Capistrano,CA,92675,949-240-9388,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/ca/sanjuancapistrano/pet-supplies-sanjuancapistrano-ca-124.html,2021-02-25
167,Pet Supplies Studio City | Petco,"12800 Ventura Blvd., Studio City, CA, 91604",12800 Ventura Blvd.,Studio City,CA,91604,818-506-6416,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/ca/studiocity/pet-supplies-studiocity-ca-167.html,2021-02-25
187,Pet Supplies Ventura | Petco,"4300 East Main Street, Unit A, Ventura, CA, 93003",4300 East Main Street,Ventura,CA,93003,805-639-3016,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/ca/ventura/pet-supplies-ventura-ca-187.html,2021-02-25
196,Pet Supplies San Pedro | Petco,"852 North Western Avenue, San Pedro, CA, 90732",852 North Western Avenue,San Pedro,CA,90732,310-521-8131,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/ca/sanpedro/pet-supplies-sanpedro-ca-196.html,2021-02-25
201,Pet Supplies Kirkland | Petco,"12040 Ne 85th St., Kirkland, WA, 98033",12040 Ne 85th St.,Kirkland,WA,98033,425-889-8319,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/wa/kirkland/pet-supplies-kirkland-wa-201.html,2021-02-25
202,Pet Supplies Mount Vernon | Petco,"201 E. College Wy, Suite B, Mount Vernon, WA, 98273",201 E. College Wy,Mount Vernon,WA,98273,360-424-5999,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/wa/mountvernon/pet-supplies-mountvernon-wa-202.html,2021-02-25
203,Pet Supplies Corvallis | Petco,"2365 N.w. Kings Blvd., Corvallis, OR, 97330",2365 N.w. Kings Blvd.,Corvallis,OR,97330,541-766-8997,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/or/corvallis/pet-supplies-corvallis-or-203.html,2021-02-25
205,Pet Supplies Bend | Petco,"3197 N Hwy 97, #5, Bend, OR, 97703",3197 N Hwy 97,Bend,OR,97703,541-382-0510,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/or/bend/pet-supplies-bend-or-205.html,2021-02-25
206,Pet Supplies Great Falls | Petco,"1601 Market Place Drive, Suite 371, Great Falls, MT, 59404",1601 Market Place Drive,Great Falls,MT,59404,406-454-2444,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/mt/greatfalls/pet-supplies-greatfalls-mt-206.html,2021-02-25
207,Pet Supplies Idaho Falls | Petco,"2375 East 17th St, Idaho Falls, ID, 83404",2375 East 17th St,Idaho Falls,ID,83404,208-525-6166,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/id/idahofalls/pet-supplies-idahofalls-id-207.html,2021-02-25
208,Pet Supplies Seattle | Petco,"809 Ne 45th Street, Seattle, WA, 98105",809 Ne 45th Street,Seattle,WA,98105,206-548-1400,Monday: 09:00-20:00 | Tuesday: 09:00-20:00 | Wednesday: 09:00-20:00 | Thursday: 09:00-20:00 | Friday: 09:00-20:00 | Saturday: 09:00-20:00 | Sunday: 10:00-19:00,https://stores.petco.com/wa/seattle/pet-supplies-seattle-wa-208.html,2021-02-25
