,Query String,position,snippet,title,url
0,"arts, culture, entertainment and media",1,"Get the latest BBC Entertainment and Arts news: breaking news, views and analysis on celebrities, music, film, theatre, books and literature, TV and radio including audio-video content.",Entertainment & Arts - BBC News,https://www.bbc.com/news/entertainment_and_arts
1,"arts, culture, entertainment and media",2,"The icons include people using different devices to stream video, music or other forms of media. arts culture and entertainment stock illustrations. Multimedia vector icons set. Thin line outline 24x24 Grid. Pixel Perfect.Editable stroke. Multimedia vector icons set. Thin line outline 24x24 Grid. Pixel Perfect.Editable stroke. eps 10 arts culture and entertainment stock illustrations. Videography, …","Arts Culture And Entertainment Illustrations, Royalty-Free Vector ...",https://www.istockphoto.com/illustrations/arts-culture-and-entertainment
2,"arts, culture, entertainment and media",3,"Culture – set of shared attitudes, values, goals, and practices that define a group of people, such as the people of a particular region. Culture includes the elements that characterize a particular peoples' way of life. The arts – vast subdivision of culture, composed of many creative endeavors and disciplines. The arts encompasses visual arts, literary arts and the performing arts.",Wikipedia:Contents/Culture and the arts - Wikipedia,https://en.wikipedia.org/wiki/Portal:Contents/Culture_and_the_arts
3,"arts, culture, entertainment and media",4,"The Bachelor of General Studies with a focus in Arts, Media and Entertainment program provides skills in criticism and evaluation of art forms, the processes by which art and creativity are communicated, and promotion and marketing in the performing arts. By developing a knowledge of art, music, media, cultural traditions, and popular culture, students will build a solid foundation for a variety of careers. Arts, …","Arts, Media and Entertainment | International Students | UA Global",https://everywhere.arizona.edu/arts-media-and-entertainment
4,"arts, culture, entertainment and media",5,"Schulich offers Canada’s only English language MBA with a specialization in Arts, Media and Entertainment Management (AM&E). The program provides a deep and current understanding of management practices across the creative industries, including: broadcasting, digital and social media, not-for-profit arts and social enterprise organizations.","Arts, Media & Entertainment Management | Schulich School of …",https://schulich.yorku.ca/specializations/arts-media/
5,arts and entertainment,1,"Get the latest BBC Entertainment and Arts news: breaking news, views and analysis on celebrities, music, film, theatre, books and literature, TV and radio including audio-video content.",Entertainment & Arts - BBC News,https://www.bbc.com/news/entertainment_and_arts
6,arts and entertainment,2,"Arts and entertainment in India have had their course shaped by a synthesis of indigenous and foreign influences that have consequently shaped the course of the arts of the rest of Asia, since ancient times. Arts refer to paintings, architecture, literature, music, dance, languages and cinema.In early India, most of the arts were derived Vedic influences. After the birth of …",Arts and entertainment in India - Wikipedia,https://en.wikipedia.org/wiki/Arts_and_entertainment_in_India
7,arts and entertainment,3,"A&E is an American pay television  network, the flagship television property of A&E Networks. The network focuses primarily on non-fiction programming, including reality docusoaps, true crime, and documentary miniseries. The network was originally founded in 1984 as the Arts & Entertainment Network, initially focusing on fine arts, documentaries (including its then-flagship series Biography), and dramas(including i…",A&E (TV network) - Wikipedia,https://en.wikipedia.org/wiki/A%26E_(TV_channel)
8,arts and entertainment,4,"Learn to be well read, become a better artist, and sell your own music with wikiHow's Arts and Entertainment category. Our articles can help you develop talent in multiple areas and be a good entertainer. Check out how-tos on learning ventriloquism, making your own radio show, becoming a professional storyteller, and more.",Arts and Entertainment - how to articles from wikiHow,https://www.wikihow.com/Category:Arts-and-Entertainment
9,arts and entertainment,5,"Art versus entertainment. My friend Stephen pointed out recently, quoting Makoto Fujimura I think, that the difference between art and entertainment is subtle, but important: Entertainment gives you a predictable pleasure… Art leads to transformation. If that’s true, then we may have a problem, because what a lot of people call “art” isn’t changing us. At best, it’s entertaining us, …",The Difference Between Art and Entertainment,https://goinswriter.com/art-and-entertainment/
10,arts and entertainment,6,"Stream full episodes of A&E series, including The First 48, 60 Days In, Intervention, Ghost Hunters, and more.",A&E | Watch Full Episodes of Your Favorite Shows,https://www.aetv.com/
11,arts and entertainment,7," · Topics: arts-and-entertainment, human-interest, mental-health, sydney-2000 'She can make a difference in the world': Aboriginal model with vitiligo to debut in London (audio) ABC North and West SA ...",Arts and Entertainment - ABC News,https://www.abc.net.au/news/topic/arts-and-entertainment
12,arts and entertainment,8,Arts and Entertainment. 206 likes. This is the page that focuses on Articles and best products as far as Arts and Entertainment are concern.,Arts and Entertainment - Home | Facebook,https://www.facebook.com/Arts-and-Entertainment-1607153712831223/?__xts__%5B0%5D=68.ARCPduBLyShIPxelR-BM5OxpVo7V7zXkOItTwYck2Zecr_QH1UYmq511iwybUZ64SzHDFFJfFDpxoFIsxmJHcdxNowk9sIZ4q4pirMhSzilbEklRwR5b8s9CvFeyUEX-nDAAELz-EYr_i3r48zzlEtFHt7DjqxMC7W8KnLlRtGfuk_MKEA184gZ8g9LPlRB6PH-3XkNHTCtMjnrkD4bEDdG3rhha8kcmXqcdNxp2xY2ctxPeob8jhfCaI3y4ZC3bLEMZfJX6WuFmNkUo2c6xoH6RdwnNzLDWOvDSVoVnrWSSCasgvRw3ZtZNr6q2WF_IUF98q_Obew
13,arts and entertainment,9," · Arts and Entertainment briefs. Friday, January 29, 2021, 12:05 a.m. Share this story “Year of the Ox 2021” is among the works that will be available during South Kona Artists Collective (SOKO ...",Arts and Entertainment briefs | West Hawaii Today,https://www.westhawaiitoday.com/2021/01/29/entertainment/arts_entertainment_briefs_012921/
14,animation,1,"Animation is a method in which figures  are manipulated to appear as moving images. In traditional animation, images are drawn or painted by hand on transparent celluloid sheets  to be photographed and exhibited on film. Today, most animations are made with computer-generated imagery  (CGI). Computer animation  can be very detailed 3D animation, while 2D computer animation(which may have the look of traditional animation) can be used for stylistic reasons, low bandwi…",Animation - Wikipedia,https://en.wikipedia.org/wiki/Animation
15,animation,2,"Animation is the process of designing, drawing, making layouts and preparation of photographic sequences which are integrated in the multimedia and gaming products. Animation involves the exploitation and management of still images to generate the illusion of movement. A person who creates animations is called animator.","What is Animation, Type Of Animation - 2D & 3D Animation",https://www.indiaeducation.net/animation/what-is-animation.html
16,animation,3,Animation (161) Family (105) Adventure (93) Fantasy (87) Comedy (84) Drama (70) Action (26) Sci-Fi (25) Romance (20) Mystery (18) Crime (12) Musical (10) Thriller (9) History (8) War (7) Biography (6) Horror (6) Music (3) Documentary (1) Sport (1) Western (1) Feature Film (160) Video (1) IMDb user rating (average) to. Number of votes to » In Favorite Theaters In Theaters …,TOP ANIMATED MOVIES: 2000-2021 - IMDb,https://www.imdb.com/list/ls027345371/
17,animation,4,,Computer Animation - Tutorialspoint,https://www.tutorialspoint.com/computer_graphics/computer_animation.htm
18,art exhibition,1,"An art exhibition is traditionally the space in which art objects  (in the most general sense) meet an audience.  The exhibit is universally understood to be for some temporary period unless, as is rarely true, it is stated to be a ""permanent exhibition"".",Art exhibition - Wikipedia,https://en.wikipedia.org/wiki/Art_exhibition
19,art exhibition,2," · Online forum Art Meet, which connects artists from various walks of life, is organising its first online art exhibition ART GROOVES between February 26 to 28, 2021, between 11 AM and 8 PM.",Art Meet to organise its first online art exhibition ART …,https://yourstory.com/weekender/art-meet-online-art-exhibition-poornima-dayal
20,art exhibition,3," · A good art exhibition should be characterized by a prominent theme that ties the different pieces together and makes them feel like part of a larger whole. Think carefully about the message you want your exhibition to convey. It could be an image or phenomenon, a feeling or a certain visual technique. The …",How to Set Up an Art Exhibition: 13 Steps (with Pictures),https://www.wikihow.com/Set-Up-an-Art-Exhibition
21,art exhibition,4,"1. art exhibition - an exhibition of art objects (paintings or statues) expo, exposition, exhibition - a collection of things (goods or works of art etc.) for public display retrospective - an exhibition of a representative selection of an artist's life work",Art exhibition - definition of art exhibition by The Free …,https://www.thefreedictionary.com/art+exhibition
22,art exhibition,5," · Using art to gain confidence: This Kerala art exhibition is inspiring. There are 117 paintings made by 26 girls of Kerala Mahila Samakhya Society, exhibited at Alliance Francaise in ...",Using art to gain confidence: This Kerala art exhibition is …,https://www.thenewsminute.com/article/using-art-gain-confidence-kerala-art-exhibition-inspiring-143866
23,art exhibition,6," · Gropius Bau, Berlin, 19 March-1 August; Tel Aviv Museum of Art, 2 November-23 April 2022. Eight of Yayoi Kusama’s most important exhibitions, which took place between 1952 and 1983, will be ...",The biggest and best art exhibitions opening in 2021 | …,https://www.theartnewspaper.com/preview/the-biggest-art-exhibitions-opening-around-the-world-in-2021
24,art exhibition,7,"Kiran Nadar Museum of Art (KNMA) opened its doors on January 5. The National Gallery of Modern Art (NGMA) has planned several events and even free entries during weekends. Kiran Nadar, founder and chairperson, KNMA, said that this is the new phase in life for the museum and the return of the general public to public …","National Gallery of Modern Art, New Delhi",http://www.ngmaindia.gov.in/
25,art exhibition,8,,9 virtual exhibition tours to watch online | Blog | Royal …,https://www.royalacademy.org.uk/article/9-virtual-exhibition-art-tours-to-watch-online
26,art exhibition,9," · Four years ago, the Fondation Louis Vuitton put together an unprecedented exhibition of modern masterworks that once belonged to the industrialist Sergei Shchukin, a man whose fortune (and art)...",The Top 10 Art Exhibitions to See in 2020 - Bloomberg,https://www.bloomberg.com/news/articles/2019-12-19/the-top-10-art-exhibitions-to-see-in-2020
27,art exhibition,10,"Optikal Asylum, a touring contemporary art show opens in Chennai, introducing local artists in a relaxed pub setting Pristine and powerful recital of ‘Ravanolbhavam’ An evening of Kathakali and...","Art News, Art Review, Art Shows, Paintings, Exhibitions, …",https://www.thehindu.com/entertainment/art/#!
28,cartoon,1,,Kids Channel - Cartoon Videos for Kids - YouTube,https://m.youtube.com/user/thekydstv
29,cartoon,2,"Cartoon Network is home to your favorite cartoons, full episodes, video clips and free games. Play with your favorite Cartoon Network characters in Teen Titans GO! games, Adventure Time games, Regular Show games, Gumball games and more. Watch episodes and video clips of your favorite TV shows like Adventure Time, The Amazing World of Gumball, Regular Show, Ninjago, Teen Titans …","Cartoon Network | Free Games, Online Videos, Full Episodes, and …",https://www.cartoonnetwork.com/
30,cartoon,3," · The legendary cat, dog, and mouse trio in some of their most memorable cartoons!WB Kids is the home of all of your favorite clips featuring characters from t...","Tom & Jerry | Classic Cartoon Compilation | Tom, Jerry, & Spike - …",https://www.youtube.com/watch?v=cqyziA30whE
31,cartoon,4,"Welcome to the official Cartoon Network channel on YouTube! Make yourself at home and enjoy lots of free video clips from shows like Teen Titans Go!, O.K.KO!, Steven Universe, The Amazing World of Gumball, Adventure Time, Unikitty and more! You can watch full episodes of your favorite Cartoon Network shows and play tons of free online games at ...",Cartoon Network - YouTube,https://m.youtube.com/user/cartoonnetwork
32,cartoon,5, · About Press Copyright Contact us Creators Advertise Developers Terms Privacy Policy & Safety How YouTube works Test new features Press Copyright Contact us Creators ...,A New Animated cartoon In HIndi part 1 - YouTube,https://www.youtube.com/watch?v=cfVIp8Udo90
33,cartoon,6,"Cartoon Network is home to your favorite cartoons, full episodes, video clips and free games. Play with your favorite Cartoon Network characters in Teen Titans GO! games, Adventure Time games, Regular Show games, Gumball games and more. Watch episodes and video clips of your favorite TV …",Cartoon Network | Video,https://www.cartoonnetwork.com/video/index.html
34,cartoon,7,"CARTOON est la chaîne des dessins animés! Publication régulière de nouveaux épisodes des P'tits diables et d'autres séries d'animation, pour nos fans de France, d'Europe, du Canada, d'Afrique et d'Asie!",Cartoon - YouTube,https://m.youtube.com/user/cartoon
35,cinema,1,"Movies in Salem - Book online movie tickets for cinemas in Salem at Paytm.com. Find showtimes, ticket prices, available seats with release dates of movies in Salem","Movies in Salem - Online Movie Ticket Booking, Showtimes in …",https://paytm.com/movies/salem
36,cinema,2,Check out latest movies playing and show times at ARRS Multiplex: Salem and other nearby theatres in your city. Book movie tickets at cinemas near you in Salem on BookMyShow. Theatres with Social Distancing & Safety procedures are present. Look for the Safety Badge.,ARRS Multiplex: Salem | Movie Showtimes Near You in Salem – …,https://in.bookmyshow.com/salem/cinemas/arrs-multiplex-salem/ARRS
37,cinema,3,"Define cinema. cinema synonyms, cinema pronunciation, cinema translation, English dictionary definition of cinema. n. 1. A movie theater. 2. Movies collectively, especially when considered as an art form. cin′e·mat′ic adj. cin′e·mat′i·cal·ly adv. American Heritage®...",Cinema - definition of cinema by The Free Dictionary,https://www.thefreedictionary.com/cinema
38,cinema,4,"Online movie ticket bookings for the Bollywood, Hollywood, Tamil, Telugu and other regional films showing near you in Salem. Check out the List of latest movies running in nearby theatres and multiplexes in Salem, for you to watch this weekend on BookMyShow.",Salem Movie Tickets Online Booking & Showtimes near you - …,https://in.bookmyshow.com/explore/movies-salem
39,cinema,5,Kumaran Cinema 2K Dts - Avadi NEW; VR Cinemas - Pattabiram A/C dts 2K; Sri Venkateswara Theatre - Periapalayam; EGA Cinemas - RGB Laser; Udhayam Complex; Meenakshi Cinemas A/C Dts - Avadi; Albert Complex; Vettri Theatres RGB Laser; M.R.Theatre 4K 3D A/C Dolby 7.1; Ags Cinemas Omr Navlur - Chennai; Carnival Cinemas EVP - Chennai; INOX The Marina Mall - OMR; …,"Online Movie Tickets Booking, Theatre Booking in Chennai, …",https://www.ticketnew.com/
40,dance,1,"Dance is a performing art form  consisting of purposefully selected sequences of human movement. This movement has aesthetic  and symbolic  value, and is acknowledged as dance by performers and observers within a particular culture.  Dance can be categorized and described by its choreography, by its repertoire of movements, or by its historical period  or place of origin.  An important distinction is to be drawn between the contexts of theatrical  and participatorydance…",Dance - Wikipedia,https://en.wikipedia.org/wiki/Dance
41,dance,2,"Dance, the movement of the body in a rhythmic way, usually to music and within a given space, for the purpose of expressing an idea or emotion, releasing energy, or simply taking delight in the movement itself. Pieter Bruegel the Elder: Peasant Dance","dance | Definition, Characteristics, Types, History, People, & Facts ...",https://www.britannica.com/art/dance
42,dance,3,"Dance is a performing art.It is described in many ways. It is when people move to a musical rhythm.They may be alone, or in a group. The dance may be an informal play, a part of a ritual, or a part of a professional performance.There are many kinds of dances, and every human society has its own dances.. As with other performing arts, some people dance to express their feelings …",Dance - Wikipedia,https://en.wikipedia.ind.in/wiki/Dance
43,dance,4,Dance definition is - to move one's body rhythmically usually to music : to engage in or perform a dance. How to use dance in a sentence.,Dance | Definition of Dance by Merriam-Webster,https://www.merriam-webster.com/dictionary/dance
44,dance,5,,Dance Music 2021 | Dance Songs 2020 - YouTube,https://m.youtube.com/playlist?list=PLcfgpjzMYTNWqhb2ZgEWNGqD00Pp_ugVW
